LATIT   LONGI   INT   DATE
27.00   88.30     4   09/09/1865
27.00   88.30     4   16/11/1865
23.20   89.20     5   17/11/1865
32.20   75.80     6   04/12/1865
25.60   91.90     4   12/12/1865
27.00   88.30     6   16/12/1865
22.50   92.00     9   19/12/1865
24.40   88.70     6   20/12/1865
23.40   88.50     6   25/12/1865
22.70   90.30     5   27/12/1865
22.30   91.80     4   06/01/1866
21.80   87.80     6   23/01/1866
25.00   87.00     8   23/05/1866
27.70   85.30     8   23/05/1866
27.70   85.30     6      09/1866
24.60   92.70     5   29/06/1868
24.90   91.90     8   30/06/1868
24.00   85.40     6   31/07/1868
34.00   71.70     7      08/1868
24.00   85.00     7   30/09/1868
32.50   71.30     8   10/11/1868
26.00   90.00     8   10/01/1869
27.00   88.30     4   21/03/1869
27.00   88.30     5   23/03/1869
33.00   73.80     6   24/03/1869
30.50   78.00     6   25/03/1869
34.00   71.50     6   25/03/1869
34.00   71.50     7      04/1869
25.60   91.90     6   17/04/1869
22.60   88.40     5   09/06/1869
27.00   88.30     4   09/06/1869
28.00   85.00    10   07/07/1869
29.40   79.40     5   25/07/1869
27.00   88.30     7   09/08/1869
31.10   77.20     5   05/10/1869
33.80   72.40     6   20/12/1869
33.80   73.30     7   20/12/1869
33.80   73.30     6   24/12/1869
23.70   90.40     5   22/04/1870
34.50   69.20     8      11/1871
34.50   69.20     9   18/10/1874
27.00   88.30     5   26/04/1875
26.50   93.00     7   03/09/1875
31.60   74.40     8   12/12/1875
33.00   74.00     7   02/03/1878
24.80   92.80     6   13/10/1882
34.00   71.70     6      04/1883
34.10   74.80     5   15/01/1885
34.10   74.80    10   30/05/1885
34.00   75.00     9   06/06/1885
24.00   90.00     7   14/07/1885
25.00   89.20     6   24/07/1885
34.10   74.80     5   20/10/1886
